Nomor SPK,Tanggal SPK,Nama Kapal,Jumlah Jenis Item,Daftar Uraian Barang,Daftar Part Number,Daftar Qty & Satuan,Rincian Lengkap Barang
1150.SPK/BA.17/BA010102/2026,2026-07-23,Rasuna Baruna,3,"1. COMPRESSOR AC
2. FREON R404A
3. TRANSPORTASI DAN AKOMODASI","1. -
2. -
3. -","1. 2 unit
2. 3 pcs
3. 1 lot","1. COMPRESSOR AC (2 unit)
2. FREON R404A (3 pcs)
3. TRANSPORTASI DAN AKOMODASI (1 lot)"
1159.SPK/BA.202/BA010102/2026,2026-07-23,Kartini Baruna,6,"1. CUTTER BLADE ASSEMBLY
2. CHAIN DRUM ASSEMBLY
3. FLANGE COVER WITH SCREW
4. CUTTER BLADE
5. V BELT
6. V BELT","1. -
2. -
3. KP 202
4. KP 207
5. A 560 LI
6. A 520 LI","1. 20 set
2. 20 set
3. 40 pcs
4. 300 pcs
5. 10 pcs
6. 10 pcs","1. CUTTER BLADE ASSEMBLY (20 set)
2. CHAIN DRUM ASSEMBLY (20 set)
3. FLANGE COVER WITH SCREW [PN: KP 202] (40 pcs)
4. CUTTER BLADE [PN: KP 207] (300 pcs)
5. V BELT [PN: A 560 LI] (10 pcs)
6. V BELT [PN: A 520 LI] (10 pcs)"
C.1511/PR.103/DIV.RENDALHAR-2026,2026-07-23,Arimbi Baruna,2,"1. KACA ANJUNGAN UK 194 X 88
2. TRANSPORTASI DAN AKOMODASI","1. -
2. -","1. 1 unit
2. 1 lot","1. KACA ANJUNGAN UK 194 X 88 (1 unit)
2. TRANSPORTASI DAN AKOMODASI (1 lot)"
1187.SPK/BA.202/BA010102/2026,2026-07-23,Zalecha Baruna,15,"1. FORGED CHAIN SHACKLE SCREW PIN TYPE 38 MM WLL 4.5 TON 304 STAINLESS FOR LASHING ANCHOR
2. INGERSOLL-RAND 236 AIR IMPACT WRENCH, 1/2 INCH DRIVE, 7400 RPM, ALUMINIUM HOUSING, FOR BOLT MANHOLE
3. RUBBER PACKING SHEET FOR MANHOLE
4. GALVANIZED, 16MM X 50M, INNER END SECURED TO DRUM,OUTER END WEDGE SOCKET AND SAFETY WIRE TO DRUM. FOR FREE FALL LIFEBOAT
5. GALVANIZED AND ANTI-ROTATING ROPE, 14MM X 30M, INNER WIRE END SECURED TO DRUM. FOR RESCUE BOAT DAVID
6. OIL SOUNDING PASTA. CHECK OIL FOR BALLAST TANK
7. SHACKLE D STAINLESS STEEL SCREW PIN BODY DIAMETER 7 MM OPEN 14 MM CLEAR LENGTH 23 MM PIN DIAMETER 7 MM SWL 0.17 TON
8. HAND TOOLS SET
9. SILICONE RED
10. DEVCON
11. ROL CAT, LENGTH: 66 CM
12. HOLLOW PUNCH
13. GALVANIZED BRAIDED STEEL WIRE ROPE, (35X7), 13 MM X 72 M (2 SETS), BREAKING LOAD 168.7 KN. FOR PROVISION CRANE
14. KERTAS HVS A4
15. SOUNDING TAPE FOR WATER SOUNDING MATERIAL : STAINLEES STEEL LENGTH : 20 METER","1. -
2. -
3. -
4. -
5. -
6. -
7. -
8. -
9. -
10. -
11. -
12. -
13. -
14. -
15. -","1. 4 pcs
2. 2 pcs
3. 20 set
4. 1 pcs
5. 1 pcs
6. 3 pcs
7. 50 pcs
8. 1 set
9. 50 pcs
10. 5 pcs
11. 60 pcs
12. 1 set
13. 2 set
14. 6 rim
15. 4 pcs","1. FORGED CHAIN SHACKLE SCREW PIN TYPE 38 MM WLL 4.5 TON 304 STAINLESS FOR LASHING ANCHOR (4 pcs)
2. INGERSOLL-RAND 236 AIR IMPACT WRENCH, 1/2 INCH DRIVE, 7400 RPM, ALUMINIUM HOUSING, FOR BOLT MANHOLE (2 pcs)
3. RUBBER PACKING SHEET FOR MANHOLE (20 set)
4. GALVANIZED, 16MM X 50M, INNER END SECURED TO DRUM,OUTER END WEDGE SOCKET AND SAFETY WIRE TO DRUM. FOR FREE FALL LIFEBOAT (1 pcs)
5. GALVANIZED AND ANTI-ROTATING ROPE, 14MM X 30M, INNER WIRE END SECURED TO DRUM. FOR RESCUE BOAT DAVID (1 pcs)
6. OIL SOUNDING PASTA. CHECK OIL FOR BALLAST TANK (3 pcs)
7. SHACKLE D STAINLESS STEEL SCREW PIN BODY DIAMETER 7 MM OPEN 14 MM CLEAR LENGTH 23 MM PIN DIAMETER 7 MM SWL 0.17 TON (50 pcs)
8. HAND TOOLS SET (1 set)
9. SILICONE RED (50 pcs)
10. DEVCON (5 pcs)
11. ROL CAT, LENGTH: 66 CM (60 pcs)
12. HOLLOW PUNCH (1 set)
13. GALVANIZED BRAIDED STEEL WIRE ROPE, (35X7), 13 MM X 72 M (2 SETS), BREAKING LOAD 168.7 KN. FOR PROVISION CRANE (2 set)
14. KERTAS HVS A4 (6 rim)
15. SOUNDING TAPE FOR WATER SOUNDING MATERIAL : STAINLEES STEEL LENGTH : 20 METER (4 pcs)"
0936.SPK/BA.202/BA010102/2026,2026-07-23,Kartini Baruna,25,"1. HAMMER HEAD WIRE RUSTING
2. FOR HAMMER HEAD / HAMMER BLADE
3. FOR HAMMER HEAD DISC PIN
4. CENTER BOLD AND NUT
5. FOR HAMMER HEAD DISK
6. CUP BRUSH / LIGHT RUSTING
7. FINISHING WIRE WHEEL BRUSH
8. FLEXIBLE SHAFTS AND TUBE FOR SCALLING MACHINE-
9. NO. 1 HD TOOL HEAD
10. NO 1-1 CUTTER FOR HD TOOL
11. NO 1-2 DISC PIN FOR HD TOOL
12. NO 1-3 CENTER BOLT AND NUT FOR HD TOOL
13. NO 1-4 DISK FOR HD TOOL
14. NO 2 LG BRUSH HEAD LIGHT RUSTING
15. NO 2-1 LG BLADE FOR LG BRUSH
16. NO 2-2 DISC PIN FOR LG BRUSH
17. NO 2-3 CENTER BOLT AND NUT FOR LG BRUSH
18. NO 4 HAMMER HEAD WIDE RUSHING
19. NO 4-1 HAMMER BLADE FOR HAMMER HEAD
20. NO 4-2 DISC PIN FOR HAMMER HEAD
21. NO 4-4 DISK FOR HAMMER HEAD
22. NO 4-5 COLLAR FOR HAMMER HEAD
23. NO 4-6 WASHER FOR HAMMER HEAD
24. NO 3 CUP BRUSH LIGHT RUSHING
25. NO 5 WIRE WHEEL FINISHING","1. 591266
2. 591267
3. 591268
4. 591269
5. 591270
6. 591265
7. 591273
8. 591253
9. 591255
10. 591256
11. 591257
12. 591258
13. 591259
14. 591260
15. 591261
16. 591262
17. 591263
18. 591266
19. 591267
20. 591268
21. 591270
22. 591271
23. 591272
24. 591265
25. 591273","1. 20 pcs
2. 600 pcs
3. 200 pcs
4. 50 pcs
5. 100 pcs
6. 20 pcs
7. 50 pcs
8. 6 set
9. 20 set
10. 1000 pcs
11. 300 pcs
12. 100 pcs
13. 600 pcs
14. 20 set
15. 1500 pcs
16. 600 pcs
17. 200 pcs
18. 20 set
19. 1000 pcs
20. 200 pcs
21. 300 pcs
22. 200 pcs
23. 300 pcs
24. 50 pcs
25. 50 pcs","1. HAMMER HEAD WIRE RUSTING [PN: 591266] (20 pcs)
2. FOR HAMMER HEAD / HAMMER BLADE [PN: 591267] (600 pcs)
3. FOR HAMMER HEAD DISC PIN [PN: 591268] (200 pcs)
4. CENTER BOLD AND NUT [PN: 591269] (50 pcs)
5. FOR HAMMER HEAD DISK [PN: 591270] (100 pcs)
6. CUP BRUSH / LIGHT RUSTING [PN: 591265] (20 pcs)
7. FINISHING WIRE WHEEL BRUSH [PN: 591273] (50 pcs)
8. FLEXIBLE SHAFTS AND TUBE FOR SCALLING MACHINE- [PN: 591253] (6 set)
9. NO. 1 HD TOOL HEAD [PN: 591255] (20 set)
10. NO 1-1 CUTTER FOR HD TOOL [PN: 591256] (1000 pcs)
11. NO 1-2 DISC PIN FOR HD TOOL [PN: 591257] (300 pcs)
12. NO 1-3 CENTER BOLT AND NUT FOR HD TOOL [PN: 591258] (100 pcs)
13. NO 1-4 DISK FOR HD TOOL [PN: 591259] (600 pcs)
14. NO 2 LG BRUSH HEAD LIGHT RUSTING [PN: 591260] (20 set)
15. NO 2-1 LG BLADE FOR LG BRUSH [PN: 591261] (1500 pcs)
16. NO 2-2 DISC PIN FOR LG BRUSH [PN: 591262] (600 pcs)
17. NO 2-3 CENTER BOLT AND NUT FOR LG BRUSH [PN: 591263] (200 pcs)
18. NO 4 HAMMER HEAD WIDE RUSHING [PN: 591266] (20 set)
19. NO 4-1 HAMMER BLADE FOR HAMMER HEAD [PN: 591267] (1000 pcs)
20. NO 4-2 DISC PIN FOR HAMMER HEAD [PN: 591268] (200 pcs)
21. NO 4-4 DISK FOR HAMMER HEAD [PN: 591270] (300 pcs)
22. NO 4-5 COLLAR FOR HAMMER HEAD [PN: 591271] (200 pcs)
23. NO 4-6 WASHER FOR HAMMER HEAD [PN: 591272] (300 pcs)
24. NO 3 CUP BRUSH LIGHT RUSHING [PN: 591265] (50 pcs)
25. NO 5 WIRE WHEEL FINISHING [PN: 591273] (50 pcs)"
1109.SPK/BA.302/BA010102/2026,2026-07-24,Malahayati Baruna,67,"1. AUX. BLOWER M/E
2. AUX. BLOWER M/E
3. E/R VENT FAN
4. E/R VENT FAN
5. MAIN COOLING SW PUMP
6. MAIN COOLING SW PUMP
7. AUX. COOLING SW PUMP
8. AUX. COOLING SW PUMP
9. MAIN LO PUMP M/E
10. MAIN LO PUMP M/E
11. MAIN AIR COMPRESSOR
12. MAIN AIR COMPRESSOR
13. MAIN COOLING FW PUMP
14. MAIN COOLING FW PUMP
15. BALLAST PUMP
16. BALLAST PUMP
17. FIRE & GS PUMP NO 1 & NO 2
18. FIRE & GS PUMP NO 1 & NO 2
19. BALLAS & SPARE COOL
20. BALLAS & SPARE COOL
21. CIRCULATION FO PUMP
22. CIRCULATION FO PUMP
23. BOOSTER FO PUMP
24. BOOSTER FO PUMP
25. FEED PUMP
26. FEED PUMP
27. FO PURIFIER & LO PURIFIER
28. FO PURIFIER & LO PURIFIER
29. FW HYDROPHORE PUMP NO 1 & 2
30. FW HYDROPHORE PUMP NO 1 & 2
31. BLOWER BOILER
32. BLOWER BOILER
33. BLOWER INCINERATOR
34. BLOWER INCINERATOR
35. EXH. FAN PURIFIER
36. EXH. FAN PURIFIER
37. SEWAGE AIR PUMP
38. SEWAGE AIR PUMP
39. SEWAGE WATER PUMP
40. SEWAGE WATER PUMP
41. EXH. BLOWER SANITARY
42. EXH. BLOWER SANITARY
43. DECK CRANE NO 1-4
44. DECK CRANE NO 1-4
45. FO TRANSFER PUMP
46. FO TRANSFER PUMP
47. DO TRANSFER PUMP
48. DO TRANSFER PUMP
49. FEED PUMP
50. FEED PUMP
51. HOT WATER CIRCULATION PUMP
52. HOT WATER CIRCULATION PUMP
53. BILGE WATER
54. BILGE WATER
55. SLUDGE PUMP
56. SLUDGE PUMP
57. E/H PUMP FOR DECK MACHINERY
58. E/H PUMP FOR DECK MACHINERY
59. E/R VENT FAN
60. E/R VENT FAN
61. E/R VENT FAN
62. DECK CRANE ELMOT FAN
63. DECK CRANE ELMOT FAN
64. E/H PUMP HATCH COVER
65. E/H PUMP HATCH COVER
66. E/H PUMP STEERING GEAR NO 1 & NO 2
67. E/H PUMP STEERING GEAR NO 1 & NO 2","1. 6212 ZZ C3
2. 6312 ZZ C3
3. 6312 ZZ
4. 6312 ZZ
5. 6314 ZZ C3
6. 6212 ZZ C3
7. 6311 ZZ
8. 6310 ZZ
9. 6315 ZZ
10. 6213 ZZ
11. 6314 ZZ C3
12. 6212 ZZ C3
13. 6309 ZZ
14. 6307 ZZ
15. 6313 ZZ
16. 6218
17. 6312 ZZ
18. 6310 ZZ
19. 6313 ZZ
20. 6218
21. 6308 ZZ
22. 6306 ZZ
23. 6206 ZZ
24. 6305 ZZ
25. 6308 ZZ
26. 6306 ZZ
27. 6308 ZZ
28. 6306 ZZ
29. 6206 ZZ
30. 6305 ZZ
31. 6205 ZZ
32. 6205 ZZ
33. 6204 ZZ
34. 6203 ZZ
35. 6204 ZZ
36. 6203 ZZ
37. 6204 ZZ
38. 6203 ZZ
39. 6205 ZZ
40. 6205 ZZ
41. 6202 RS
42. 6202 RS
43. 6220 C3
44. 6313 ZZ M
45. 6309 ZZ
46. 6307 ZZ
47. 6306 ZZ
48. 6306 ZZ
49. 6308 ZZ
50. 6306 ZZ
51. 6205 ZZ
52. 6205 ZZ
53. 6204 ZZ
54. 6204 ZZ
55. 6206 ZZ
56. 6305 ZZ
57. 6314 ZZ
58. 6212 ZZ
59. 6202 ZZ
60. 6310 ZZ
61. 6204 ZZ
62. 6208 ZZ
63. 6208 ZZ
64. 6311 ZZ
65. 6310 ZZ
66. 6311 ZZ
67. 7311 DB","1. 4 pcs
2. 4 pcs
3. 4 pcs
4. 4 pcs
5. 2 pcs
6. 2 pcs
7. 2 pcs
8. 2 pcs
9. 4 pcs
10. 4 pcs
11. 4 pcs
12. 4 pcs
13. 2 pcs
14. 2 pcs
15. 2 pcs
16. 2 pcs
17. 4 pcs
18. 4 pcs
19. 2 pcs
20. 2 pcs
21. 2 pcs
22. 2 pcs
23. 2 pcs
24. 2 pcs
25. 2 pcs
26. 2 pcs
27. 4 pcs
28. 4 pcs
29. 4 pcs
30. 4 pcs
31. 2 pcs
32. 2 pcs
33. 2 pcs
34. 2 pcs
35. 2 pcs
36. 2 pcs
37. 2 pcs
38. 2 pcs
39. 2 pcs
40. 2 pcs
41. 2 pcs
42. 2 pcs
43. 8 pcs
44. 8 pcs
45. 2 pcs
46. 2 pcs
47. 2 pcs
48. 2 pcs
49. 4 pcs
50. 4 pcs
51. 2 pcs
52. 2 pcs
53. 2 pcs
54. 2 pcs
55. 2 pcs
56. 2 pcs
57. 8 pcs
58. 8 pcs
59. 2 pcs
60. 4 pcs
61. 2 pcs
62. 8 pcs
63. 8 pcs
64. 4 pcs
65. 4 pcs
66. 4 pcs
67. 4 pcs","1. AUX. BLOWER M/E [PN: 6212 ZZ C3] (4 pcs)
2. AUX. BLOWER M/E [PN: 6312 ZZ C3] (4 pcs)
3. E/R VENT FAN [PN: 6312 ZZ] (4 pcs)
4. E/R VENT FAN [PN: 6312 ZZ] (4 pcs)
5. MAIN COOLING SW PUMP [PN: 6314 ZZ C3] (2 pcs)
6. MAIN COOLING SW PUMP [PN: 6212 ZZ C3] (2 pcs)
7. AUX. COOLING SW PUMP [PN: 6311 ZZ] (2 pcs)
8. AUX. COOLING SW PUMP [PN: 6310 ZZ] (2 pcs)
9. MAIN LO PUMP M/E [PN: 6315 ZZ] (4 pcs)
10. MAIN LO PUMP M/E [PN: 6213 ZZ] (4 pcs)
11. MAIN AIR COMPRESSOR [PN: 6314 ZZ C3] (4 pcs)
12. MAIN AIR COMPRESSOR [PN: 6212 ZZ C3] (4 pcs)
13. MAIN COOLING FW PUMP [PN: 6309 ZZ] (2 pcs)
14. MAIN COOLING FW PUMP [PN: 6307 ZZ] (2 pcs)
15. BALLAST PUMP [PN: 6313 ZZ] (2 pcs)
16. BALLAST PUMP [PN: 6218] (2 pcs)
17. FIRE & GS PUMP NO 1 & NO 2 [PN: 6312 ZZ] (4 pcs)
18. FIRE & GS PUMP NO 1 & NO 2 [PN: 6310 ZZ] (4 pcs)
19. BALLAS & SPARE COOL [PN: 6313 ZZ] (2 pcs)
20. BALLAS & SPARE COOL [PN: 6218] (2 pcs)
21. CIRCULATION FO PUMP [PN: 6308 ZZ] (2 pcs)
22. CIRCULATION FO PUMP [PN: 6306 ZZ] (2 pcs)
23. BOOSTER FO PUMP [PN: 6206 ZZ] (2 pcs)
24. BOOSTER FO PUMP [PN: 6305 ZZ] (2 pcs)
25. FEED PUMP [PN: 6308 ZZ] (2 pcs)
26. FEED PUMP [PN: 6306 ZZ] (2 pcs)
27. FO PURIFIER & LO PURIFIER [PN: 6308 ZZ] (4 pcs)
28. FO PURIFIER & LO PURIFIER [PN: 6306 ZZ] (4 pcs)
29. FW HYDROPHORE PUMP NO 1 & 2 [PN: 6206 ZZ] (4 pcs)
30. FW HYDROPHORE PUMP NO 1 & 2 [PN: 6305 ZZ] (4 pcs)
31. BLOWER BOILER [PN: 6205 ZZ] (2 pcs)
32. BLOWER BOILER [PN: 6205 ZZ] (2 pcs)
33. BLOWER INCINERATOR [PN: 6204 ZZ] (2 pcs)
34. BLOWER INCINERATOR [PN: 6203 ZZ] (2 pcs)
35. EXH. FAN PURIFIER [PN: 6204 ZZ] (2 pcs)
36. EXH. FAN PURIFIER [PN: 6203 ZZ] (2 pcs)
37. SEWAGE AIR PUMP [PN: 6204 ZZ] (2 pcs)
38. SEWAGE AIR PUMP [PN: 6203 ZZ] (2 pcs)
39. SEWAGE WATER PUMP [PN: 6205 ZZ] (2 pcs)
40. SEWAGE WATER PUMP [PN: 6205 ZZ] (2 pcs)
41. EXH. BLOWER SANITARY [PN: 6202 RS] (2 pcs)
42. EXH. BLOWER SANITARY [PN: 6202 RS] (2 pcs)
43. DECK CRANE NO 1-4 [PN: 6220 C3] (8 pcs)
44. DECK CRANE NO 1-4 [PN: 6313 ZZ M] (8 pcs)
45. FO TRANSFER PUMP [PN: 6309 ZZ] (2 pcs)
46. FO TRANSFER PUMP [PN: 6307 ZZ] (2 pcs)
47. DO TRANSFER PUMP [PN: 6306 ZZ] (2 pcs)
48. DO TRANSFER PUMP [PN: 6306 ZZ] (2 pcs)
49. FEED PUMP [PN: 6308 ZZ] (4 pcs)
50. FEED PUMP [PN: 6306 ZZ] (4 pcs)
51. HOT WATER CIRCULATION PUMP [PN: 6205 ZZ] (2 pcs)
52. HOT WATER CIRCULATION PUMP [PN: 6205 ZZ] (2 pcs)
53. BILGE WATER [PN: 6204 ZZ] (2 pcs)
54. BILGE WATER [PN: 6204 ZZ] (2 pcs)
55. SLUDGE PUMP [PN: 6206 ZZ] (2 pcs)
56. SLUDGE PUMP [PN: 6305 ZZ] (2 pcs)
57. E/H PUMP FOR DECK MACHINERY [PN: 6314 ZZ] (8 pcs)
58. E/H PUMP FOR DECK MACHINERY [PN: 6212 ZZ] (8 pcs)
59. E/R VENT FAN [PN: 6202 ZZ] (2 pcs)
60. E/R VENT FAN [PN: 6310 ZZ] (4 pcs)
61. E/R VENT FAN [PN: 6204 ZZ] (2 pcs)
62. DECK CRANE ELMOT FAN [PN: 6208 ZZ] (8 pcs)
63. DECK CRANE ELMOT FAN [PN: 6208 ZZ] (8 pcs)
64. E/H PUMP HATCH COVER [PN: 6311 ZZ] (4 pcs)
65. E/H PUMP HATCH COVER [PN: 6310 ZZ] (4 pcs)
66. E/H PUMP STEERING GEAR NO 1 & NO 2 [PN: 6311 ZZ] (4 pcs)
67. E/H PUMP STEERING GEAR NO 1 & NO 2 [PN: 7311 DB] (4 pcs)"
1224.SPK/BA.202/BA010102/2026,2026-07-28,Zalecha Baruna,4,"1. SAW DUST
2. BOHLAM CARGO
3. KIPAS ANGIN
4. WIRE FOR GRAB JANUS","1. 25KG
2. -
3. -
4. -","1. 20 pack
2. 20 pcs
3. 4 pcs
4. 8 set","1. SAW DUST [PN: 25KG] (20 pack)
2. BOHLAM CARGO (20 pcs)
3. KIPAS ANGIN (4 pcs)
4. WIRE FOR GRAB JANUS (8 set)"
1198.SPK/BA.302/BA010102/2026,2026-07-28,Zalecha Baruna,2,"1. SOUNDING CAP & PIPE BILGES
2. PIPE TST","1. OD 60,5
2. 60,5","1. 22 pcs
2. 10 pcs","1. SOUNDING CAP & PIPE BILGES [PN: OD 60,5] (22 pcs)
2. PIPE TST [PN: 60,5] (10 pcs)"
1217.SPK/BA.202/BA010102/2026,2026-07-28,Zalecha Baruna,5,"1. REFILL OKSIGEN
2. REFILL LPG
3. PERIZINAN
4. PEMAKAIAN PICK UP
5. PENDAMPINGAN AGEN","1. -
2. -
3. -
4. -
5. -","1. 12 lot
2. 1 lot
3. 1 lot
4. 1 lot
5. 1 lot","1. REFILL OKSIGEN (12 lot)
2. REFILL LPG (1 lot)
3. PERIZINAN (1 lot)
4. PEMAKAIAN PICK UP (1 lot)
5. PENDAMPINGAN AGEN (1 lot)"
1204.SPK/BA.17/BA010102/2026,2026-07-28,Zalecha Baruna,13,"1. LAMPU JTT HALOGEN LAMP 500W 230V
2. LAMPU JTT HALOGEN LAMP 1000W 230V
3. KAP LAMPU TKI AKRILIK BENING 2X18W
(AKRILIK LEMBARAN 3 MM. PXL=67X24CM)
4. STARTER LAMPU NEON TL F-6-4P, 4-65W 220-240V
5. FREON R404A REFRIGERANT (10,9KG)
6. KABEL SERABUT NYMHY/NYYHY 3X2.5
7. RED INSULATING VARNISH/SIRLAK/ VARNISH GULUNGAN DINAMO (400 ML)
8. FLARING SWAGING TOOLS/FLARING PIPA AC
(UNTUK UKURAN PIPA 1/8-3/4)
9. BEARING 6205 ZZ
10. STOP KONTAK 4 LUBANG 15A/250V
11. STEKER/COLOKAN ARDE S-28 R. (B) (BENTUK BULAT)
12. TOOL BAGS 19/TAS PERKAKAS 19
13. TELEPON KABEL SAHITEL S-37S. (12 DIGITS LCD DISPLAY)","1. -
2. -
3. -
4. -
5. -
6. -
7. -
8. -
9. -
10. -
11. -
12. -
13. -","1. 30 PCS
2. 30 PCS
3. 25 PCS
4. 75 PCS
5. 5 BOTOL
6. 100 METER
7. 10 BOTOL
8. 2 SET
9. 20 PCS
10. 15 PCS
11. 15 PCS
12. 2 PCS
13. 3 PCS","1. LAMPU JTT HALOGEN LAMP 500W 230V (30 PCS)
2. LAMPU JTT HALOGEN LAMP 1000W 230V (30 PCS)
3. KAP LAMPU TKI AKRILIK BENING 2X18W
(AKRILIK LEMBARAN 3 MM. PXL=67X24CM) (25 PCS)
4. STARTER LAMPU NEON TL F-6-4P, 4-65W 220-240V (75 PCS)
5. FREON R404A REFRIGERANT (10,9KG) (5 BOTOL)
6. KABEL SERABUT NYMHY/NYYHY 3X2.5 (100 METER)
7. RED INSULATING VARNISH/SIRLAK/ VARNISH GULUNGAN DINAMO (400 ML) (10 BOTOL)
8. FLARING SWAGING TOOLS/FLARING PIPA AC
(UNTUK UKURAN PIPA 1/8-3/4) (2 SET)
9. BEARING 6205 ZZ (20 PCS)
10. STOP KONTAK 4 LUBANG 15A/250V (15 PCS)
11. STEKER/COLOKAN ARDE S-28 R. (B) (BENTUK BULAT) (15 PCS)
12. TOOL BAGS 19/TAS PERKAKAS 19 (2 PCS)
13. TELEPON KABEL SAHITEL S-37S. (12 DIGITS LCD DISPLAY) (3 PCS)"
1197.SPK/PR.202/BA010102/2026,2026-07-24,Srikandi Baruna 2001,4,"1. JASA PERBAIKAN BOLDER
2. PLAT 120CMX100CMX10MM
3. KAWAT LAS
4. DISKON","1. -
2. -
3. -
4. -","1. 1 lot
2. 1 lot
3. 1 lot
4. 1 lot","1. JASA PERBAIKAN BOLDER (1 lot)
2. PLAT 120CMX100CMX10MM (1 lot)
3. KAWAT LAS (1 lot)
4. DISKON (1 lot)"
1196.SPK/BP.103/BA010102/2026,2026-07-28,Martha Baruna,2,"1. JASA INSPEKSI ALAT DAN PELATIHAN LAPANGAN
2. TRANSPORTASI DAN AKOMODASI","1. -
2. -","1. 1 lot
2. 1 lot","1. JASA INSPEKSI ALAT DAN PELATIHAN LAPANGAN (1 lot)
2. TRANSPORTASI DAN AKOMODASI (1 lot)"
1149.SPK/BA.17/BA010102/2026,2026-07-23,Kartini Baruna,6,"1. PLAT STRIP TEBAL 12mm X L 10 cm X P 6 m
2. PIPA GALVANIS 3 INCH SC 80 mm X 6 m
3. PIPA GLAVANIS 1 INCH SC 80 mm X 6 m
4. PLAT TEBAL 10 mm X L 1.2 M X 2.4 M
5. PLAT SIKU TEBAL 3 mm X 5 cm X 5 cm X 6 m
6. PLAT SIKU TEBAL 3 mm X 8 cm X 8 cm X 6 m","1. -
2. -
3. -
4. LEMBAR
5. -
6. -","1. 20 batang
2. 16 batang
3. 30 batang
4. 5 pcs
5. 30 batang
6. 20 batang","1. PLAT STRIP TEBAL 12mm X L 10 cm X P 6 m (20 batang)
2. PIPA GALVANIS 3 INCH SC 80 mm X 6 m (16 batang)
3. PIPA GLAVANIS 1 INCH SC 80 mm X 6 m (30 batang)
4. PLAT TEBAL 10 mm X L 1.2 M X 2.4 M [PN: LEMBAR] (5 pcs)
5. PLAT SIKU TEBAL 3 mm X 5 cm X 5 cm X 6 m (30 batang)
6. PLAT SIKU TEBAL 3 mm X 8 cm X 8 cm X 6 m (20 batang)"
1250.SPK/BA.302/BA010102/2026,2026-07-30,Walidah Baruna,1,"1. SHEAVE PULLEY CRANE PCD700, S35C, S25C",1. -,1. 11 pcs,"1. SHEAVE PULLEY CRANE PCD700, S35C, S25C (11 pcs)"
